Nodes,GPUs,size(MB),iterations,blocking,out algbw(GB/s),out busbw(GB/s),in algbw(GB/s),in busbw(GB/s)
2,16,32,1000,false,78.57,147.32,78.52,147.22
2,16,64,1000,false,110.40,207.00,120.51,225.95
2,16,128,1000,false,162.74,305.13,160.16,300.29
2,16,256,1000,false,194.38,364.46,195.12,365.84
2,16,512,1000,false,211.20,395.99,211.61,396.78
2,16,1024,1000,false,232.08,435.14,232.55,436.04
2,16,2048,1000,false,237.36,445.05,237.14,444.64
2,16,4096,1000,false,248.43,465.81,248.29,465.55
2,16,8192,1000,false,254.78,477.71,254.76,477.68
4,32,32,1000,false,49.23,95.38,51.71,100.19
4,32,64,1000,false,78.66,152.41,78.78,152.63
4,32,128,1000,false,118.44,229.48,118.63,229.85
4,32,256,1000,false,141.08,273.34,141.48,274.12
4,32,512,1000,false,143.70,278.41,143.83,278.68
4,32,1024,1000,false,144.67,280.30,144.65,280.27
4,32,2048,1000,false,179.39,347.57,179.38,347.56
4,32,4096,1000,false,182.94,354.45,182.84,354.24
4,32,8192,1000,false,184.25,356.99,184.30,357.08
8,64,32,1000,false,44.06,86.74,45.52,89.62
8,64,64,1000,false,52.75,103.85,52.06,102.49
8,64,128,1000,false,79.40,156.33,78.39,154.33
8,64,256,1000,false,117.88,232.09,118.95,234.18
8,64,512,1000,false,138.48,272.62,137.94,271.56
8,64,1024,1000,false,139.41,274.47,139.00,273.66
8,64,2048,1000,false,141.28,278.15,142.01,279.59
8,64,4096,1000,false,178.45,351.32,178.66,351.73
8,64,8192,1000,false,180.50,355.36,179.63,353.65
16,128,32,1000,false,37.72,74.85,39.18,77.75
16,128,64,1000,false,46.56,92.39,48.43,96.10
16,128,128,1000,false,65.11,129.20,64.87,128.73
16,128,256,1000,false,74.64,148.11,74.75,148.34
16,128,512,1000,false,112.78,223.80,116.12,230.42
16,128,1024,1000,false,135.67,269.23,135.05,267.99
16,128,2048,1000,false,136.52,270.91,138.28,274.40
16,128,4096,1000,false,154.28,306.15,157.05,311.65
16,128,8192,1000,false,179.54,356.27, 178.35,353.92
32,256,32,1000,false,33.30,66.34,33.10,65.95
32,256,64,1000,false,41.97,83.60,41.59,82.86
32,256,128,1000,false,58.12,115.78,59.00,117.54
32,256,256,1000,false,69.26,137.99,70.02,139.49
32,256,512,1000,false,78.73,156.83,80.77,160.91
32,256,1024,1000,false,110.47,220.08,110.87,220.88
32,256,2048,1000,false,135.26,269.47,135.86,270.66
32,256,4096,1000,false,152.0,302.81,150.50,299.83
32,256,8192,1000,false,161.18,321.10,161.35,321.45
