Nodes,GPUs,size(MB),iterations,blocking,out algbw(GB/s),out busbw(GB/s),in algbw(GB/s),in busbw(GB/s)
2,16,32,1000,false,47.78,44.79,50.66,47.49
2,16,64,1000,false,66.30,62.16,66.22,62.08
2,16,128,1000,false,73.38,68.79,74.04,69.41
2,16,256,1000,false,79.21,74.26,78.98,74.05
2,16,512,1000,false,80.87,75.82,80.84,75.79
2,16,1024,1000,false,82.91,77.73,82.99,77.80
2,16,2048,1000,false,84.53,79.25,84.59,79.31
4,32,32,1000, false,35.56,34.45,40.32,39.06
4,32,64,1000,false,44.53,43.13,44.41,43.03
4,32,128,1000,false,54.26,52.56,53.89,52.20
4,32,256,1000,false,56.03,54.28,55.88,54.13
4,32,512,1000,false,55.57,53.84,55.37,53.64
4,32,1024,1000,false,55.49,53.75,55.34,53.61
4,32,2048,1000,false,55.82,54.07,55.75,54.00
8,64,32,1000, false,29.13,28.67,32.32,31.81
8,64,64,1000,false,35.24,34.69,35.62,35.06
8,64,128,1000,false,36.77,36.20,36.80,36.23
8,64,256,1000,false,45.11,44.40,45.41,44.70
8,64,512,1000,false,47.31,46.57,46.98,46.25
8,64,1024,1000,false,49.08,48.31,49.21,48.44
8,64,2048,1000,false,50.41,49.63,50.80,50.01
16,128,32,1000,false,24.83,24.63,26.03,25.83
16,128,64,1000,false,26.29,26.08,26.46,26.25
16,128,128,1000,false,31.69,31.45,31.98,31.73
16,128,256,1000,false,35.04,34.77,34.99,34.72
16,128,512,1000,false,40.39,40.07,40.50,40.18
16,128,1024,1000,false,42.70,42.36,42.83,42.49
16,128,2048,1000,false,44.58,44.23,44.57,44.22
32,256,32,1000,false,19.79,19.72,20.33,20.25
32,256,64,1000,false,23.01,22.92,25.06,24.96
32,256,128,1000,false,27.13,27.02,26.48,26.37
32,256,256,1000,false,30.32,30.21,30.51,30.39
32,256,512,1000,false,33.19,33.06,32.97,32.84
32,256,1024,1000,false,38.83,38.68,38.84,38.68
32,256,2048,1000,false,40.94,40.78,41.22,41.06
