Nodes,GPUs,size(KB),iterations,algbw(GB/s)
2,16,128,1000,1.327
2,16,256,1000,2.040
2,16,512,1000,2.203
2,16,1024,1000,2.415
2,16,2048,1000,2.405
2,16,4096,1000,2.230
2,16,8192,1000,1.949
2,16,16384,1000,1.233
4,32,128,1000,1.377
4,32,256,1000,1.874
4,32,512,1000,2.235
4,32,1024,1000,2.299
4,32,2048,1000,2.305
4,32,4096,1000,2.158
4,32,8192,1000,1.900
4,32,16384,1000,1.241
8,64,128,1000,1.691
8,64,256,1000,2.228
8,64,512,1000,2.182
8,64,1024,1000,2.325
8,64,2048,1000,2.324
8,64,4096,1000,2.150
8,64,8192,1000,1.899
8,64,16384,1000,1.235
16,128,128,1000,1.372
16,128,256,1000,2.168
16,128,512,1000,2.247
16,128,1024,1000,2.303
16,128,2048,1000,2.299
16,128,4096,1000,2.180
16,128,8192,1000,1.904
16,128,16384,1000,1.230
32,256,128,1000,1.398
32,256,256,1000,2.293
32,256,512,1000,2.205
32,256,1024,1000,2.323
32,256,2048,1000,2.267
32,256,4096,1000,2.166
32,256,8192,1000,1.897
32,256,16384,1000,1.230
